,UniProt ID,PDB ID,pdbid,membrane_name_cache
1043,P10912,PDB IDs: 5oek,5oek,Eykaryo. plasma
1045,P25929,PDB IDs: 5zbq,5zbq,Eykaryo. plasma
1046,Q85FY7,PDB IDs: 6fos,6fos,Thylakoid
1047,D2Z0P5,PDB IDs: 5y5s,5y5s,Thylakoid
1048,Q9QUQ5,PDB IDs: 5z96,5z96,Eykaryo. plasma
1050,A8ALU5,PDB IDs: 5ys3,5ys3,Gram-neg. inner
1051,A0A0H3AME7,PDB IDs: 6ehf,6ehf,Gram-neg. outer
1052,O86021,PDB IDs: 5oyk,5oyk,Gram-neg. outer
1053,A5F934,PDB IDs: 6ehb,6ehb,Gram-neg. outer
1054,P0A333,PDB IDs: 6by3,6by3,Gram-pos. inner
1055,A0A1U7R319,PDB IDs: 5yw7,5yw7,Eykaryo. plasma
1056,P07293,PDB IDs: 6byo,6byo,Eykaryo. plasma
1057,O15554,PDB IDs: 6cnm,6cnm,Eykaryo. plasma
1058,U3N7D8,PDB IDs: 6g1k,6g1k,Eykaryo. plasma
1059,Q83XD1,PDB IDs: 5yq7,5yq7,Gram-neg. inner
1060,Q8FJB1,PDB IDs: 6bpl,6bpl,Gram-neg. inner
1061,Q13507,PDB IDs: 5zbg,5zbg,Eykaryo. plasma
1062,D0MDD6,PDB IDs: 6f0k,6f0k,Gram-neg. inner
1063,A5FJF3,PDB IDs: 6btm,6btm,Gram-neg. inner
1064,A7T1N0,PDB IDs: 6co7,6co7,Eykaryo. plasma
1065,G2FID1,PDB IDs: 6fvq,6fvq,Gram-neg. inner
1066,Q80WG5,PDB IDs: 6g9o,6g9o,Eykaryo. plasma
1068,G4SZ64,PDB IDs: 6cxh,6cxh,Gram-neg. inner
1070,M4XKU7,PDB IDs: 6d9z,6d9z,Gram-neg. inner
1071,Q9Y210,PDB IDs: 5yx9,5yx9,Eykaryo. plasma
1072,Q8U0Z7,PDB IDs: 6cfw,6cfw,Archaebac.
1073,P0ABE7,PDB IDs: 6d32,6d32,Eykaryo. plasma
1074,T2GB49,PDB IDs: 5xmj,5xmj,Gram-neg. inner
1075,P35523,PDB IDs: 6coy,6coy,Eykaryo. plasma
1077,P63096,PDB IDs: 6ddf,6ddf,Eykaryo. plasma
1078,P12329,PDB IDs: 5zji,5zji,Thylakoid
1079,P54702,PDB IDs: 6r69,6r69,Gram-neg. inner
1080,A0A1P8FCM7,PDB IDs: 5o77,5o77,Gram-neg. outer
1081,A0A0H3FYJ7,PDB IDs: 5o78,5o78,Gram-neg. outer
1082,D6QLY0,PDB IDs: 5o79,5o79,Gram-neg. outer
1083,Q9ALY0,PDB IDs: 5o9c,5o9c,Gram-neg. outer
1084,P25105,PDB IDs: 5zkp,5zkp,Eykaryo. plasma
1085,P0ABE5,PDB IDs: 5oc0,5oc0,Gram-neg. inner
1086,Q08BA4,PDB IDs: 6c08,6c08,Lysosome
1087,P0AF16,PDB IDs: 6cc4,6cc4,Gram-neg. inner
1088,P18507,PDB IDs: 6d6t,6d6t,Eykaryo. plasma
1089,P01019,PDB IDs: 5xjm,5xjm,Eykaryo. plasma
1090,Q7S4I4,PDB IDs: 6dt0,6dt0,Mitochon. inner
1091,W2SDE2,PDB IDs: 6dnf,6dnf,Mitochon. inner
1092,A1CWT6,PDB IDs: 6d7w,6d7w,Mitochon. inner
1093,Q13635,PDB IDs: 6dmy,6dmy,Eykaryo. plasma
1094,Q9X1H2,PDB IDs: 5y83,5y83,Gram-neg. inner
1095,E9DVV4,PDB IDs: 6c5w,6c5w,Mitochon. inner
1099,Q9NW15,PDB IDs: 5oc9,5oc9,Eykaryo. plasma
1100,Q9NUT2,PDB IDs: 5och,5och,Mitochon. inner
1101,Q9P0L9,PDB IDs: 6du8,6du8,Eykaryo. plasma
1102,Q9CMQ1,PDB IDs: 5zov,5zov,Gram-neg. inner
1103,G0GA88,PDB IDs: 6cjt,6cjt,Gram-neg. inner
1104,P18508,PDB IDs: 6dw0,6dw0,Eykaryo. plasma
1105,Q8IWT6,PDB IDs: 5zsu,5zsu,Eykaryo. plasma
1106,P20932,PDB IDs: 6bfg,6bfg,Gram-neg. inner
1107,Q99PJ1,PDB IDs: 6c14,6c14,Eykaryo. plasma
1108,P98161,PDB IDs: 6a70,6a70,Eykaryo. plasma
1109,Q923J1,PDB IDs: 6bwf,6bwf,Eykaryo. plasma
1110,Q9Y698,PDB IDs: 6dlz,6dlz,Eykaryo. plasma
1111,P14867,PDB IDs: 6cdu,6cdu,Eykaryo. plasma
1112,Q63099,PDB IDs: 6ebm,6ebm,Eykaryo. plasma
1113,Q9ULV1,PDB IDs: 6bd4,6bd4,Eykaryo. plasma
1114,B0FAQ4,PDB IDs: 6c70,6c70,Eykaryo. plasma
1115,Q8IIJ8,PDB IDs: 6e10,6e10,Vacuole
1116,L1J207,PDB IDs: 6csm,6csm,Eykaryo. plasma
1117,Q9XEA1,PDB IDs: 6jpf,6jpf,Eykaryo. plasma
1118,Q9C8G5,PDB IDs: 5z1f,5z1f,Eykaryo. plasma
1119,P20020,PDB IDs: 6a69,6a69,Eykaryo. plasma
1121,A0A081GU02,PDB IDs: 6gie,6gie,Gram-neg. outer
1122,O60894,PDB IDs: 6e3y,6e3y,Eykaryo. plasma
1123,A0A0R4IMY7,PDB IDs: 6drj,6drj,Eykaryo. plasma
1124,Q8NET8,PDB IDs: 6mho,6mho,Eykaryo. plasma
1125,P09471,PDB IDs: 6fuf,6fuf,Eykaryo. plasma
1126,Q9Y5Y4,PDB IDs: 6d26,6d26,Eykaryo. plasma
1127,Q9B6C7,PDB IDs: 6rfr,6rfr,Mitochon. inner
1128,Q07699,PDB IDs: 6agf,6agf,Eykaryo. plasma
1129,Q76HJ9,PDB IDs: 6hcp,6hcp,Gram-neg. outer
1130,Q5M4V4,PDB IDs: 6bug,6bug,Gram-pos. inner
1131,P0AA25,PDB IDs: 6h7j,6h7j,Eykaryo. plasma
1132,P05107,PDB IDs: 5zaz,5zaz,Eykaryo. plasma
1133,Q9V3X4,PDB IDs: 6mlu,6mlu,Endoplasm. reticulum
1134,P25103,PDB IDs: 6e59,6e59,Eykaryo. plasma
1135,Q841A2,PDB IDs: 4b7o,4b7o,Gram-neg. outer
1136,P63053,PDB IDs: 3j7q,3j7q,Endoplasm. reticulum
1137,Q4GWZ2,PDB IDs: 3j7r,3j7r,Endoplasm. reticulum
1139,Q03611,PDB IDs: 5h3o,5h3o,Eykaryo. plasma
1141,P00268,PDB IDs: 6aky,6aky,Eykaryo. plasma
1142,P0DP29,PDB IDs: 6dmw,6dmw,Eykaryo. plasma
1143,Q96G97,PDB IDs: 6ds5,6ds5,Endoplasm. reticulum
1144,Q687X5,PDB IDs: 6hcy,6hcy,Eykaryo. plasma
1145,Q46705,PDB IDs: 3jqo,3jqo,Gram-neg. outer
1147,Q5SIX3,PDB IDs: 6bar,6bar,Gram-neg. inner
1148,A0A0M7H8A9,PDB IDs: 6ene,6ene,Gram-neg. outer
1149,Q53TN4,PDB IDs: 5zlg,5zlg,Eykaryo. plasma
1150,P98002,PDB IDs: 3hb3,3hb3,Gram-neg. inner
1151,A0R050,PDB IDs: 6hwh,6hwh,Gram-pos. inner
1152,A5F9W9,PDB IDs: 6h3i,6h3i,Gram-neg. outer
1153,Q39583,PDB IDs: 6bhp,6bhp,Eykaryo. plasma
1154,P31547,PDB IDs: 6cvl,6cvl,Gram-neg. inner
1155,Q5XEZ5,PDB IDs: 6mgv,6mgv,Eykaryo. plasma
1156,A0A0B9X9I7,PDB IDs: 6eus,6eus,Gram-neg. outer
1157,A0R057,PDB IDs: 6adq,6adq,Gram-pos. inner
1158,P35408,PDB IDs: 5ywy,5ywy,Eykaryo. plasma
1159,P43115,PDB IDs: 6ak3,6ak3,Eykaryo. plasma
1160,Q00959,PDB IDs: 6mmr,6mmr,Eykaryo. plasma
1161,Q61115,PDB IDs: 6mg8,6mg8,Eykaryo. plasma
1162,P75780,PDB IDs: 6bpm,6bpm,Gram-neg. outer
1165,Q8L435,PDB IDs: 5zih,5zih,Eykaryo. plasma
1166,P12946,PDB IDs: 6a2j,6a2j,Gram-pos. inner
1167,P0AC98,PDB IDs: 5zug,5zug,Gram-neg. inner
1168,Q27IM2,PDB IDs: 6fj3,6fj3,Eykaryo. plasma
1169,P14906,PDB IDs: 6n3q,6n3q,Endoplasm. reticulum
1171,O94759,PDB IDs: 6mix,6mix,Eykaryo. plasma
1172,Q9TU17,PDB IDs: 6mhq,6mhq,Eykaryo. plasma
1173,P55917,PDB IDs: 6mhy,6mhy,Eykaryo. plasma
1175,Q9NUN7,PDB IDs: 6g7o,6g7o,Endoplasm. reticulum
1176,G2QNH0,PDB IDs: 6gci,6gci,Mitochon. inner
1177,Q8DJ02,PDB IDs: 6hum,6hum,Gram-neg. inner
1178,Q13336,PDB IDs: 6qd5,6qd5,Eykaryo. plasma
1179,A0QP27,PDB IDs: 6ajf,6ajf,Gram-pos. inner
1180,Q9B6E8,PDB IDs: 6h8k,6h8k,Mitochon. inner
1181,P07143,PDB IDs: 6giq,6giq,Mitochon. inner
1182,Q9NZ42,PDB IDs: 6iyc,6iyc,Eykaryo. plasma
1183,P41594,PDB IDs: 6n51,6n51,Eykaryo. plasma
1184,Q6LX42,PDB IDs: 6cse,6cse,Archaebac.
1185,P77304,PDB IDs: 6gs4,6gs4,Gram-neg. inner
1186,Q4WA18,PDB IDs: 6dz7,6dz7,Eykaryo. plasma
1187,P0DO17,PDB IDs: 6iu3,6iu3,Vacuole
1188,B7FRW2,PDB IDs: 6a2w,6a2w,Thylakoid
1189,P28223,PDB IDs: 6a93,6a93,Eykaryo. plasma
1191,A0A4V8GZZ2,PDB IDs: 6igz,6igz,Thylakoid
1192,Q9Z0G9,PDB IDs: 6akg,6akg,Eykaryo. plasma
1193,O14763,PDB IDs: 6nhw,6nhw,Eykaryo. plasma
1194,P10176,PDB IDs: 5z62,5z62,Mitochon. inner
1195,Q5ZKX9,PDB IDs: 6i6h,6i6h,Endoplasm. reticulum
1196,P34741,PDB IDs: 6ith,6ith,Eykaryo. plasma
1197,O60939,PDB IDs: 6j8e,6j8e,Eykaryo. plasma
1198,E2QH56,PDB IDs: 6nzi,6nzi,Gram-neg. inner
1199,Q6P9J9,PDB IDs: 6qp6,6qp6,Eykaryo. plasma
1200,E1C7U0,PDB IDs: 6nt6,6nt6,Endoplasm. reticulum
1201,Q86WV6,PDB IDs: 6nt5,6nt5,Endoplasm. reticulum
1202,O86150,PDB IDs: 6hrc,6hrc,Gram-neg. inner
1203,P08138,PDB IDs: 5zgg,5zgg,Eykaryo. plasma
1204,G3XD89,PDB IDs: 6fok,6fok,Gram-neg. outer
1205,P0AEB5,PDB IDs: 5y4o,5y4o,Gram-neg. inner
1206,O66528,PDB IDs: 6fv6,6fv6,Gram-neg. inner
1207,P12154,PDB IDs: 6ijj,6ijj,Thylakoid
1208,Q00914,PDB IDs: 6ijo,6ijo,Thylakoid
1209,I0YUS5,PDB IDs: 6gyh,6gyh,Eykaryo. plasma
1211,P08195,PDB IDs: 6irs,6irs,Eykaryo. plasma
1212,Q9KP51,PDB IDs: 6mjp,6mjp,Gram-neg. inner
1213,A0A0H3CQA2,PDB IDs: 6mit,6mit,Gram-neg. inner
1214,Q8VHW5,PDB IDs: 6qkc,6qkc,Eykaryo. plasma
1215,Q8NHX9,PDB IDs: 6nq0,6nq0,Lysosome
1216,P16869,PDB IDs: 6e4v,6e4v,Gram-neg. outer
1217,P31780,PDB IDs: 6i1x,6i1x,Gram-neg. outer
1218,Q96D96,PDB IDs: 5oqk,5oqk,Eykaryo. plasma
1219,P52477,PDB IDs: 6iok,6iok,Gram-neg. inner
1220,P0ADV9,PDB IDs: 6mi7,6mi7,Gram-neg. inner
1221,P0A9V1,PDB IDs: 6mi8,6mi8,Gram-neg. inner
1222,Q9Y3Q4,PDB IDs: 6gyo,6gyo,Eykaryo. plasma
1223,Q5ZK43,PDB IDs: 6iyx,6iyx,Endoplasm. reticulum
1224,Q6GN30,PDB IDs: 6iz4,6iz4,Endoplasm. reticulum
1225,P48039,PDB IDs: 6me2,6me2,Eykaryo. plasma
1226,P49286,PDB IDs: 6me7,6me7,Eykaryo. plasma
1228,Q96PS8,PDB IDs: 6f7h,6f7h,Eykaryo. plasma
1229,P62157,PDB IDs: 6o20,6o20,Eykaryo. plasma
1230,Q61420,PDB IDs: 6oh3,6oh3,Golgi
1231,A8UCQ5,PDB IDs: 6f2g,6f2g,Gram-pos. inner
1232,E2JF22,PDB IDs: 6b3r,6b3r,Eykaryo. plasma
1233,A9JTM7,PDB IDs: 6o84,6o84,Eykaryo. plasma
1234,M9UD72,PDB IDs: 6nav,6nav,Archaebac.
1235,P04896,PDB IDs: 6r3q,6r3q,Eykaryo. plasma
1237,Q29307,PDB IDs: 6j5j,6j5j,Mitochon. inner
1238,O67603,PDB IDs: 6ebu,6ebu,Gram-neg. inner
1240,Q15125,PDB IDs: 6oht,6oht,Endoplasm. reticulum
1241,Q2FD70,PDB IDs: 6ows,6ows,Gram-neg. inner
1242,B4FZ94,PDB IDs: 6i1r,6i1r,Golgi
1244,P0A1M4,PDB IDs: 6r6b,6r6b,Gram-neg. inner
1245,P0AA76,PDB IDs: 6e9n,6e9n,Gram-neg. inner
1247,P16615,PDB IDs: 5ztf,5ztf,Endoplasm. reticulum
1248,Q9H4I9,PDB IDs: 6o58,6o58,Mitochon. inner
1249,Q8X974,PDB IDs: 6gv9,6gv9,Gram-neg. inner
1250,P9WPG7,PDB IDs: 6h59,6h59,Gram-pos. inner
1251,P25656,PDB IDs: 6roh,6roh,Golgi
1252,P39524,PDB IDs: 6roj,6roj,Golgi
1253,A0LNN5,PDB IDs: 6g9x,6g9x,Gram-neg. inner
1254,B1B1U5,PDB IDs: 6i9k,6i9k,Eykaryo. plasma
1255,P56726,PDB IDs: 6o3c,6o3c,Eykaryo. plasma
1256,Q5TKG1,PDB IDs: 6oce,6oce,Eykaryo. plasma
1259,Q99808,PDB IDs: 6ob7,6ob7,Eykaryo. plasma
1260,P69805,PDB IDs: 6k1h,6k1h,Gram-neg. inner
1261,P33775,PDB IDs: 6p25,6p25,Endoplasm. reticulum
1264,P42264,PDB IDs: 6jfy,6jfy,Eykaryo. plasma
1265,Q8BU91,PDB IDs: 6rtc,6rtc,Eykaryo. plasma
1266,Q0C3L7,PDB IDs: 6e9c,6e9c,Gram-neg. inner
1267,A0A0G2KTI4,PDB IDs: 6npl,6npl,Eykaryo. plasma
1269,Q6IYF9,PDB IDs: 6ibb,6ibb,Eykaryo. plasma
1270,Q09427,PDB IDs: 6pzc,6pzc,Eykaryo. plasma
1271,Q7NP59,PDB IDs: 6nwd,6nwd,Gram-neg. inner
1272,P0AEX9,PDB IDs: 6p6w,6p6w,Gram-neg. inner
1273,Q9QX29,PDB IDs: 6aei,6aei,Eykaryo. plasma
1274,O14649,PDB IDs: 6rv2,6rv2,Eykaryo. plasma
1275,O78753,PDB IDs: 6qc6,6qc6,Mitochon. inner
1276,P24959,PDB IDs: 6q9e,6q9e,Mitochon. inner
1277,Q9I116,PDB IDs: 6i96,6i96,Gram-neg. outer
1278,Q51368,PDB IDs: 6i97,6i97,Gram-neg. outer
1279,Q9Y2Q0,PDB IDs: 6k7g,6k7g,Endoplasm. reticulum
1280,Q8CD54,PDB IDs: 6kg7,6kg7,Eykaryo. plasma
1282,W5PFI3,PDB IDs: 6qti,6qti,Mitochon. inner
1283,Q56403,PDB IDs: 6qum,6qum,Gram-neg. inner
1284,O95484,PDB IDs: 6ov2,6ov2,Eykaryo. plasma
1285,P32248,PDB IDs: 6qzh,6qzh,Eykaryo. plasma
1286,O14678,PDB IDs: 6jbj,6jbj,Lysosome
1287,P30926,PDB IDs: 6pv7,6pv7,Eykaryo. plasma
1288,D6QLY1,PDB IDs: 6rck,6rck,Gram-neg. outer
1289,E5G6G2,PDB IDs: 6rcp,6rcp,Gram-neg. outer
1290,P07766,PDB IDs: 6jxr,6jxr,Eykaryo. plasma
1291,A0A151EDA9,PDB IDs: 6is6,6is6,Archaebac.
1292,P80967,PDB IDs: 6jnf,6jnf,Mitochon. outer
1293,P0ABJ9,PDB IDs: 6rko,6rko,Gram-neg. inner
1294,W8L932,PDB IDs: 6q53,6q53,Thylakoid
1295,P96787,PDB IDs: 6gux,6gux,Archaebac.
1296,Q12200,PDB IDs: 6r4l,6r4l,Eykaryo. plasma
1297,A0A5S8WF66,PDB IDs: 6o72,6o72,Eykaryo. plasma
1298,A0QQ39,PDB IDs: 6sgw,6sgw,Gram-pos. inner
1299,P0A410,PDB IDs: 6k61,6k61,Thylakoid
1301,P31827,PDB IDs: 6ofr,6ofr,Gram-neg. outer
1302,P0A9V4,PDB IDs: 6s8h,6s8h,Gram-neg. inner
1303,Q0Z852,PDB IDs: 6pw4,6pw4,Eykaryo. plasma
1305,P07753,PDB IDs: 6kac,6kac,Thylakoid
1306,Q9Y271,PDB IDs: 6rz4,6rz4,Eykaryo. plasma
1307,Q9UP95,PDB IDs: 6kkt,6kkt,Eykaryo. plasma
1308,Q8K424,PDB IDs: 6pvl,6pvl,Eykaryo. plasma
1309,P37650,PDB IDs: 6tzk,6tzk,Gram-neg. outer
1310,Q64663,PDB IDs: 6u9v,6u9v,Eykaryo. plasma
1311,P41784,PDB IDs: 6pep,6pep,Gram-neg. inner
1313,P08980,PDB IDs: 6rqf,6rqf,Thylakoid
1314,O14520,PDB IDs: 6n1g,6n1g,Eykaryo. plasma
1315,O43497,PDB IDs: 6kzo,6kzo,Eykaryo. plasma
1316,P04844,PDB IDs: 6s7o,6s7o,Endoplasm. reticulum
1318,P08912,PDB IDs: 6ol9,6ol9,Eykaryo. plasma
1319,A0A2R4S913,PDB IDs: 6su3,6su3,Gram-pos. inner
1320,W7FI62,PDB IDs: 6ukj,6ukj,Vacuole
1321,P51436,PDB IDs: 6iql,6iql,Eykaryo. plasma
1322,C4IXV6,PDB IDs: 6v1q,6v1q,Eykaryo. plasma
1323,P18825,PDB IDs: 6kuw,6kuw,Eykaryo. plasma
1324,P30989,PDB IDs: 6pwc,6pwc,Eykaryo. plasma
1326,Q9HA72,PDB IDs: 6uiv,6uiv,Eykaryo. plasma
1327,Q9FF53,PDB IDs: 6qim,6qim,Eykaryo. plasma
1328,P0ABK2,PDB IDs: 6rx4,6rx4,Gram-neg. inner
1329,Q55415,PDB IDs: 6ki1,6ki1,Gram-neg. inner
1330,O88454,PDB IDs: 6pis,6pis,Eykaryo. plasma
1331,P21439,PDB IDs: 6s7p,6s7p,Eykaryo. plasma
1332,Q86W47,PDB IDs: 6v22,6v22,Eykaryo. plasma
1333,Q9U6P4,PDB IDs: 6sp2,6sp2,Eykaryo. plasma
1334,P15389,PDB IDs: 6uz0,6uz0,Eykaryo. plasma
1335,P34957,PDB IDs: 6kob,6kob,Gram-pos. inner
1336,Q62640,PDB IDs: 6ksp,6ksp,Eykaryo. plasma
1339,Q00595,PDB IDs: 6qam,6qam,Gram-neg. outer
1341,A0A1Z3HRW4,PDB IDs: 6kmw,6kmw,Thylakoid
1342,A0A1Z3HIN6,PDB IDs: 6kmx,6kmx,Thylakoid
1343,Q2FHP2,PDB IDs: 6ryo,6ryo,Gram-pos. inner
1346,Q7KWJ5,PDB IDs: 6rw3,6rw3,Eykaryo. plasma
1347,P42212,PDB IDs: 6vam,6vam,Eykaryo. plasma
1348,P06850,PDB IDs: 6p9x,6p9x,Eykaryo. plasma
1349,P63092,PDB IDs: 6p9y,6p9y,Eykaryo. plasma
1350,Q9CZP5,PDB IDs: 6uks,6uks,Mitochon. inner
1351,P32839,PDB IDs: 6sh3,6sh3,Mitochon. inner
1352,P0A3C9,PDB IDs: 6khi,6khi,Gram-neg. inner
1354,G6FME9,PDB IDs: 6pnj,6pnj,Thylakoid
1355,D0FXV2,PDB IDs: 6qph,6qph,Thylakoid
1357,P96589,PDB IDs: 6s3k,6s3k,Gram-pos. inner
1358,P0A223,PDB IDs: 6rwy,6rwy,Gram-neg. inner
1359,D0FXW7,PDB IDs: 6rhz,6rhz,Thylakoid
1360,Q9Y2T5,PDB IDs: 6li0,6li0,Eykaryo. plasma
1361,P11836,PDB IDs: 6vja,6vja,Eykaryo. plasma
1362,B3DLA5,PDB IDs: 6vd7,6vd7,Eykaryo. plasma
1363,Q1RAG2,PDB IDs: 6p6i,6p6i,Gram-neg. inner
1364,A0A6I8WFL7,PDB IDs: 6jbh,6jbh,Gram-pos. inner
1366,P51787,PDB IDs: 6mie,6mie,Eykaryo. plasma
1367,Q695T7,PDB IDs: 6m17,6m17,Eykaryo. plasma
1368,A0A6I8WFQ3,PDB IDs: 6nwf,6nwf,Gram-neg. inner
1369,Q12001,PDB IDs: 6sni,6sni,Endoplasm. reticulum
1370,Q9UHW9,PDB IDs: 6y5r,6y5r,Eykaryo. plasma
1371,Q72JC0,PDB IDs: 6xxd,6xxd,Gram-neg. inner
1372,Q72GL2,PDB IDs: 6xxe,6xxe,Gram-neg. inner
1374,P25090,PDB IDs: 6lw5,6lw5,Eykaryo. plasma
1375,Q16602,PDB IDs: 6uun,6uun,Eykaryo. plasma
1376,Q96RD7,PDB IDs: 6m02,6m02,Eykaryo. plasma
1377,P55011,PDB IDs: 6pzt,6pzt,Eykaryo. plasma
1378,A0A1D8S9F5,PDB IDs: 6s3l,6s3l,Gram-neg. inner
1379,A0A0P9WRJ4,PDB IDs: 6s3r,6s3r,Gram-neg. inner
1381,G7CBF5,PDB IDs: 6tej,6tej,Gram-pos. inner
1382,P9WQI9,PDB IDs: 6tqe,6tqe,Gram-pos. inner
1383,S5UCA2,PDB IDs: 6v78,6v78,Gram-neg. outer
1384,E1BF86,PDB IDs: 6vx7,6vx7,Eykaryo. plasma
1385,Q1AUE6,PDB IDs: 6kfq,6kfq,Gram-pos. inner
1386,Q9BSA9,PDB IDs: 6wc9,6wc9,Lysosome
1387,P02714,PDB IDs: 6uwz,6uwz,Eykaryo. plasma
1388,Q8VZL4,PDB IDs: 6lyp,6lyp,Mitochon. inner
1389,P18089,PDB IDs: 6k41,6k41,Eykaryo. plasma
1390,O95342,PDB IDs: 6lr0,6lr0,Eykaryo. plasma
1391,P0DSN4,PDB IDs: 6r2q,6r2q,Gram-neg. outer
1392,Q2FZP8,PDB IDs: 6s7v,6s7v,Gram-pos. inner
1394,P35610,PDB IDs: 6l47,6l47,Endoplasm. reticulum
1395,G0S196,PDB IDs: 6lcp,6lcp,Eykaryo. plasma
1396,P82251,PDB IDs: 6li9,6li9,Eykaryo. plasma
1397,O06967,PDB IDs: 6r72,6r72,Gram-pos. inner
1398,P76115,PDB IDs: 6v81,6v81,Gram-neg. outer
1400,P32245,PDB IDs: 6w25,6w25,Eykaryo. plasma
1401,A0R0B3,PDB IDs: 7bvc,7bvc,Gram-pos. inner
1402,P9WNL7,PDB IDs: 7bvf,7bvf,Gram-pos. inner
1403,P21926,PDB IDs: 6k4j,6k4j,Eykaryo. plasma
1404,O66460,PDB IDs: 6klv,6klv,Gram-neg. inner
1406,O75907,PDB IDs: 6vp0,6vp0,Endoplasm. reticulum
1407,P0A6A8,PDB IDs: 6w98,6w98,Gram-pos. inner
1408,A1L3X0,PDB IDs: 6y7f,6y7f,Endoplasm. reticulum
1409,Q5JW98,PDB IDs: 6ytl,6ytl,Eykaryo. plasma
1410,Q5R3K3,PDB IDs: 6ytx,6ytx,Eykaryo. plasma
1411,Q03032,PDB IDs: 6iww,6iww,Gram-neg. inner
1412,Q7L1W4,PDB IDs: 6m04,6m04,Eykaryo. plasma
1413,P49407,PDB IDs: 6tko,6tko,Eykaryo. plasma
1414,P0DTC3,PDB IDs: 6xdc,6xdc,Eykaryo. plasma
1416,A0A6P3CW41,PDB IDs: 6k6i,6k6i,Gram-neg. inner
1417,A0A6P3CW42,PDB IDs: 6k6k,6k6k,Gram-neg. inner
1419,Q8NB49,PDB IDs: 6lkn,6lkn,Endoplasm. reticulum
1420,A0QT08,PDB IDs: 6lum,6lum,Gram-pos. inner
1421,P0ABA6,PDB IDs: 6oqr,6oqr,Gram-neg. inner
1422,Q7MXJ7,PDB IDs: 6sln,6sln,Gram-neg. outer
1423,Q9VNJ5,PDB IDs: 6tbu,6tbu,Eykaryo. plasma
1424,Q02936,PDB IDs: 6td6,6td6,Eykaryo. plasma
1425,Q9WVL3,PDB IDs: 6ukn,6ukn,Eykaryo. plasma
1426,O75899,PDB IDs: 6uo8,6uo8,Eykaryo. plasma
1427,Q39128,PDB IDs: 6v1y,6v1y,Eykaryo. plasma
1428,V4JF97,PDB IDs: 6v4a,6v4a,Gram-neg. inner
1429,P40540,PDB IDs: 6wb9,6wb9,Endoplasm. reticulum
1430,U5WZP7,PDB IDs: 6wm5,6wm5,Gram-pos. inner
1431,Q9P0I2,PDB IDs: 6ww7,6ww7,Endoplasm. reticulum
1432,A0R614,PDB IDs: 6x0o,6x0o,Gram-pos. inner
1433,Q9UHE8,PDB IDs: 6y9b,6y9b,Eykaryo. plasma
1434,O60669,PDB IDs: 7bp3,7bp3,Eykaryo. plasma
1435,Q9KCR8,PDB IDs: 6vwx,6vwx,Gram-pos. inner
1436,P78556,PDB IDs: 6wwz,6wwz,Eykaryo. plasma
1437,P04696,PDB IDs: 6ph7,6ph7,Eykaryo. plasma
1438,P43005,PDB IDs: 6s3q,6s3q,Eykaryo. plasma
1439,Q6T3U3,PDB IDs: 6v3f,6v3f,Endoplasm. reticulum
1440,Q5F725,PDB IDs: 6vks,6vks,Gram-neg. inner
1441,Q9UBS5,PDB IDs: 6w2y,6w2y,Eykaryo. plasma
1444,Q96F81,PDB IDs: 6xe6,6xe6,Eykaryo. plasma
1446,Q9JK62,PDB IDs: 6wlv,6wlv,Eykaryo. plasma
1447,Q6J8X0,PDB IDs: 6wlb,6wlb,Eykaryo. plasma
1448,Q8ZRA7,PDB IDs: 6z12,6z12,Gram-neg. inner
1449,Q3IY11,PDB IDs: 6nhh,6nhh,Gram-neg. inner
1450,A3MTD6,PDB IDs: 6yv7,6yv7,Archaebac.
1451,P31122,PDB IDs: 6kki,6kki,Gram-neg. inner
1452,H2MCM1,PDB IDs: 6lmt,6lmt,Eykaryo. plasma
1453,Q18593,PDB IDs: 6lmv,6lmv,Eykaryo. plasma
1454,Q48658,PDB IDs: 6t1z,6t1z,Gram-pos. inner
1456,Q8IZF0,PDB IDs: 6xiw,6xiw,Eykaryo. plasma
1457,Q9BPX6,PDB IDs: 6xqn,6xqn,Mitochon. inner
1458,Q92847,PDB IDs: 6ko5,6ko5,Eykaryo. plasma
1459,Q9HAS3,PDB IDs: 6ksw,6ksw,Eykaryo. plasma
1460,Q8NFK1,PDB IDs: 6l3t,6l3t,Eykaryo. plasma
1461,G0GAP6,PDB IDs: 6leo,6leo,Eykaryo. plasma
1462,Q9V2J8,PDB IDs: 6lfl,6lfl,Eykaryo. plasma
1463,P10145,PDB IDs: 6lfm,6lfm,Eykaryo. plasma
1464,P74901,PDB IDs: 6ly9,6ly9,Gram-neg. inner
1465,O00258,PDB IDs: 6so5,6so5,Endoplasm. reticulum
1466,P30559,PDB IDs: 6tpk,6tpk,Eykaryo. plasma
1467,I6UZV3,PDB IDs: 6u8y,6u8y,Archaebac.
1468,P32241,PDB IDs: 6vn7,6vn7,Eykaryo. plasma
1469,P09683,PDB IDs: 6wi9,6wi9,Eykaryo. plasma
1470,P09192,PDB IDs: 6wj6,6wj6,Thylakoid
1471,G2QFF9,PDB IDs: 6wuh,6wuh,Mitochon. outer
1472,Q13467,PDB IDs: 6ww2,6ww2,Eykaryo. plasma
1473,Q8VE49,PDB IDs: 6wxr,6wxr,Eykaryo. plasma
1474,D6WIX5,PDB IDs: 6x4s,6x4s,Mitochon. inner
1475,A0A1S3V7V2,PDB IDs: 6x89,6x89,Mitochon. inner
